Combo,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25
20911,532.965,525.303,523.047,522.269,524.187,526.862,528.085,538.624,548.741,562.445,681.443,950.962,1351.301,2025.28,2860.312,3572.083,4079.696,4403.109,4615.869,4916.1,5079.016,5135.114,5144.809,5127.122,5103.887
20511,622.599,610.22,605.199,602.571,604.512,606.431,607.477,616.096,632.936,652.236,761.393,952.494,1064.052,1134.75,1207.727,1271.607,1321.467,1360.461,1386.265,1419.984,1449.385,1471.684,1490.05,1506.484,1520.295
50911,570.076,556.358,552.133,549.102,549.397,550.879,550.59,561.403,578.931,594.559,660.482,791.046,893.099,938.065,975.847,1008.083,1037.269,1062.964,1076.769,1099.284,1116.743,1131.899,1146.3,1158.64,1169.775
30509,590.747,580.75,577.446,574.23,572.943,571.392,569.912,573.278,590.038,608.187,636.307,728.211,862.562,940.273,984.292,1019.47,1054.786,1087.919,1112.144,1142.794,1168.217,1191.616,1213.577,1231.42,1245.735
30911,559.047,558.387,558.006,556.731,557.505,557.729,555.914,556.564,567.323,580.997,592.081,622.287,701.365,813.999,975.988,1199.888,1459.627,1712.848,1930.294,2174.186,2344.983,2462.307,2549.63,2603.029,2638.603
40711,545.619,550.409,554.169,558.368,565.89,573.306,576.973,587.725,602.404,621.382,635.941,658.222,704.808,773.326,871.521,1026.588,1251.021,1504.299,1751.586,2009.735,2231.871,2419.502,2575.29,2694.43,2819.16
40710,535.101,536.853,538.832,540.325,543.083,545.339,544.807,551.006,558.61,572.036,589.626,629.107,789.401,1022.439,1362.698,1852.34,2376.35,2845.728,3250.045,3634.752,3925.42,4225.079,4461.306,4582.018,4664.816
20710,542.536,545.598,547.278,547.913,549.805,550.699,545.651,548.172,553.971,565.429,576.33,632.346,885.243,1180.918,1580.953,2089.314,2595.835,3054.069,3415.645,3776.77,4098.79,4441.562,4683.898,4809.828,4882.916
20610,539.367,542.502,543.856,543.661,544.474,544.708,537.42,538.171,545.095,557.249,575.878,711.245,1131.235,1668.555,2449.332,3272.934,4009.859,4581.149,4957.434,5350.124,5759.821,6146.788,6389.962,6498.098,6543.127
20406,531.792,531.353,535.713,536.782,539.31,542.307,540.814,542.702,554.241,574.184,667.441,1011.95,1538.583,2393.549,3441.605,4355.268,5037.352,5477.521,5725.357,6204.075,6682.062,7001.483,7170.156,7265.011,7312.485
30406,528.354,525.413,529.758,530.74,533.079,535.655,532.624,533.367,543.297,559.567,603.969,835.457,1236.506,1886.218,2830.308,3721.439,4393.131,4811.653,5034.964,5399.548,5737.645,5962.158,6068.804,6113.62,6139.666
